msg,label
,alt.atheism
"
[...]

These don't seem like ""little things"" to me.  At least, they are orders
worse than the motto.  Do you think that the motto is a ""little thing""
that will lead to worse things?",sci.electronics
"There was an article on Jewish major leaguers in a recent issue of ""Elysian 
Fields"", what used to be the ""Minnesota Review of Baseball"".  As I recall, 
it had an amazing amount of research, with a long list of players and a 
large bibliography.",talk.politics.misc
"
It appears that Walla Walla College will fill the same role in alt.atheist
that Allegheny College fills in alt.fan.dan-quayle.


Converts to xtianity have this tendency to excessively darken their
pre-xtian past, frequently falsely.  Anyone who embarks on an
effort to ""destroy"" xtianity is suffering from deep megalomania, a
defect which is not cured by religious conversion.


Different perspective?  DIFFERENT PERSPECTIVE??  BWAHAHAHAHAHAHAHAH!!!


(sigh!)  Perhaps Big J was just mistaken about some of his claims.
Perhaps he was normally insightful, but had a few off days.  Perhaps
many (most?) of the statements attributed to Jesus were not made by
him, but were put into his mouth by later authors.  Other possibilities
abound.  Surely, someone seriously examining this question could
come up with a decent list of possible alternatives, unless the task
is not serious examination of the question (much less ""destroying""
xtianity) but rather religious salesmanship.


How many Germans died for Nazism?  How many Russians died in the name
of the proletarian dictatorship?  How many Americans died to make the
world safe for ""democracy"".  What a silly question!


Is everyone who performs a healing = God?


It's probably hard to ""draw"" an entire nation to you unless you 
are crazy.


Anyone who is convinced by this laughable logic deserves
to be a xtian.
",sci.electronics
"
The PowerBook 170 hardware doesn't have a wakeup timer.  Nor does the 140.
The Mac Portable had one, and I think the PowerBook 100 had one.  I don't
know about the newer PowerBooks, but I kind of doubt it.  I got bit by
this too, and it took my a while rooting around on the developer CD
before I found this out.",comp.sys.mac.hardware
"What is the maximum rate of the 6882 FPU that Apple sells directly (Apple
Part No. M6775 LL/A)?  The Apple literature labels the FPU for Classics and
LC III's so I assume it will do at least 25MHz.  My question is can I put
it in a Performa 600 (68030 @ 32MHz)?  The Apple price is cheap at $78
compared to ~$135 from mail order houses.  Any one know the answer to this
one?
",comp.sys.mac.hardware
"I have a couple applications for high speed data links
1__replacement of ultrasonic signal coaxial cables with fiber optic cable
2__applying fiber optic slip ring for 16 channel ultrasonics inspection
system for CANDU reactor inspection
3__remote data link from ultrasonic pipeline inspection device including
transfer of 16 channels via microwave or other higher speed transfer of
ultrasonic data from remote inspection head.

I would be happy to share sources...other info as acquired.
Please mail me or post here.
.....this is a long term upgrade over the next years _+",alt.atheism
"
Of your spelling, eh?

			Dr Zippy.",rec.sport.baseball
"

Not quite. 66MHz Pentium - 65 SPECint92, 57 SPECfp92 .
	   66MHz MC98601 - 50 SPECint92, 80 SPECfp92 .

Note that SPECint is more important for most real world applications.


As far as the 486DX2-66 goes - 32 SPECint92, 16 SPECfp92 .



Intel chips have traditionally been faster than their Motorola ""equivalents""
although the significance of chip speed in real world application performance
is something that is highly debatable.



-- 
Ravikumar Venkateswar
rvenkate@uiuc.edu",comp.sys.mac.hardware
"Anyone know what would cause my IIcx to not turn on when I hit the keyboard
switch?  The one in the back of the machine doesn't work either...
The only way I can turn it on is to unplug the machine for a few minutes,
then plug it back in and hit the power switch in the back immediately...
Sometimes this doesn't even work for a long time...

I remember hearing about this problem a long time ago, and that a logic 
board failure was mentioned as the source of the problem...is this true?
",comp.sys.mac.hardware
"There seems to be a P
PDS slot in the above printers. What is it ?
  ",comp.sys.mac.hardware
"Hi,

Right now I should do some characterization of opamps. Because I don't  
have
special equipment for this task, I have to do this job with relativly  
simple
equipments (Frequency sweeper, DSO, etc.). 
Does anyone know good test circuitry for characterization of opamps? 
Especially for measuring open-loop gain, phase margin, PSSR, CMMR and so  
on.
Are there any books or application notes on this subject available?

Please reply vi e-mail or nn.

Thanks
Mark",alt.atheism
"As I was created in the image of Gaea, therefore I must
be the pinnacle of creation, She which Creates, She which
Births, She which Continues.

Or, to cut all the religious crap, I'm a woman, thanks.
And it's sexism that started me on the road to atheism.

-- 
Maddi Hausmann                       madhaus@netcom.com
Centigram Communications Corp        San Jose California  408/428-3553",sci.electronics
"Does anybody know if there is a mailing list or newsgroup for
Power Systems and related areas?

Thanks,
",alt.atheism
"
Except for their size, the cooling towers on nuclear power plants
are vertually identical in construction and operation to cooling
towers designed and built in the 1890's (a hundred years ago) for
coal fired power plants used for lighting and early electric railways.

Basicly, the cylindrical tower supports a rapid air draft when
its air is heated by hot water and/or steam circulating thru a network
of pipes that fill about the lower 1/3 of the tower. To assist cooling
and the draft, water misters are added that spray cold water over the
hot pipes. The cold water evaporates, removing the heat faster than
just air flow from the draft would and the resulting water vapor is
rapidly carried away by the draft. This produces the clouds frequently
seen rising out of these towers.

That slight pinch (maybe 2/3 of the way up the tower) is there because
it produces a very significant increase in the strength and rate of
the air draft produced, compared to a straight cylinder shape.

The towers are used to recondense the steam in the sealed steam
system of the power plant so that it can be recirculated back to the
boiler and used again. The wider the temperature difference across
the turbines used in the power plant the more effecient they are and
by recondensing the steam in the cooling towers before sending it
back to the boilers you maintain a very wide temperature difference
(sometimes as high as 1000 degrees or more from first stage ""hot""
turbine to final stage ""cold"" turbine).

                                        R. Tim Coslet",alt.atheism
"
But,
 THEY FACED THE PHILLIES -- A TEAM THAT GOT OFF TO AN 8-1 START.




  To be honest, I think the city of Houston loves the new owner.  He has
brought baseball back to Houston with key acquisitions -- players that
were from the Houston area and wanted to play for the Astros.  I don't
think that too many people are fearful that McLane will meddle in the team
as he has already admitted that he doesn't know a whole lot about baseball.
McLane is a businessman, and doesn't like excuses.  He makes a valid point
that injuries shouldn't be an excuse to this club.  Look at the depth of the
bench this season.. Canadele can play 7 positions; Bass and James are solid
outfielders and can hit well too; Uribe is nice to have as well..  The
pitching staff has 6 legitimate starters.  We're dealing with a young
Houston team, so injuries shouldn't play a big role.  The only threat is
the bullpen -- if Jonesy goes out, we may be in trouble but with the
type of starters we have this season, there is less pressure on the pen.",talk.politics.misc
": I have wondered why a pitcher is given 8 pitches when he enters the
: game.  Let's be serious.  The relief pitcher has normally been
: throwing out in the bullpen for a few minutes.  Does he really need 8
: more pitches?

  If the relief pitcher didn't get 8 pitches, there wouldn't be enough time
to:

  1) Play ""Hit The Road Jack""
  2) The Iron City Relief Pitcher Commercial
  3) The announcers to detail to us exactly what drove the 
      previous one from the game
  4) A detailed biography, both personal and statistical, of the 
      new guy throwing his 8 pitches.
  5) Get really cool super-slo-mo pictures for Diamond Vision to put up
      by said pitchers name and stats!",talk.politics.misc
"I have noticed that this year has had a lot of high scoring games (at least the
NL has).  I believe one reason are the expansion teams.  Any thoughts?",talk.politics.misc
"There's this old SE here. It's got the older-style fans that remind
me of a house-ventilator. A cylindrical drum instead of the bladed rotor
I usually see. Anyway, the SE makes this loud buzzing noise due
to vibration somewheres. If I remove the screws and loosen the front
from the back, it quiets down. I can only assume that the fan housing
from this goofy thing is touching the back of the case and vibrating
against it. 

Anyway, any suggestions for where to get replacement fans and how to
""stealth"" this guy? Your experiences welcome.....
",comp.sys.mac.hardware
